事業者名,ステータス,精算,予約番号,企画区分,申込日,キャンセル日,貸出日時,貸出営業所,貸出営業所コード,返却日時,返却営業所,返却営業所コード,料金プラン,車両クラス,AT/MT,禁煙/喫煙,オプション,免責補償,乗車人数,到着便,出発便,基本料金合計（予約時）,乗捨料金（予約時）,オプション料金（予約時明細）,オプション料金（予約時合計金額）,免責補償料金（予約時明細）,免責補償料金（予約時合計金額）,深夜手数料（予約時）,合計金額（予約時）,最終利用金額,DP最終利用金額,キャンセル料金,利用ポイント,クーポンコード,クーポン名称,利用クーポン金額,計算基準額,システム利用料,販促プログラム,ポイント付与料,ポイント追加付与料,料金プランコード,メモ,DPオペレーターメモ,DP用最終更新日時
  ニコニコレンタカー,キャンセル（予約者都合）,済,R0MSDDF0,じゃらん,2018/6/10 2:23,2018/6/11 22:18,2018/8/3 13:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/5 9:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,,大人: 4 名、子ども: 0 名,,,6800,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,,0,0,6800,0,,0,0,,じゃらん限定★500円分クーポン【ご予約は6/14迄】,,0,0,0,0,0,SCS001,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R0I3V731,じゃらん,2018/6/10 7:00,2018/6/14 7:26,2018/8/2 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/5 8:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 3 名、子ども: 0 名,JAL3115,JAL3100,9300,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（3240円） / 免責補償フル(事故時の負担金ゼロ)（3240円）,6480,0,15780,0,,0,0,,,,0,0,0,0,0,SCS001,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R03U0RV4,じゃらん,2018/6/10 8:12,2018/6/14 19:58,2018/8/31 8:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/9/3 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度,大人: 1 名、子ども: 0 名,,,9300,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（4320円）,4320,0,13620,0,,0,0,,"じゃらん限定★1,000円分クーポン【ご予約は6/14迄】",,0,0,0,0,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R0FXXV8Y,じゃらん,2018/6/10 21:24,,2018/6/20 15:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/22 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 0 名,FDA211,SKY790,6800,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（3240円） / 免責補償フル(事故時の負担金ゼロ)（3240円）,6480,0,13280,13280,,0,0,,,,12296,1475,0,245,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R0OR736J,じゃらん,2018/6/11 20:56,,2018/6/26 19:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/28 16:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 2 名、子ども: 0 名,GK117,JW920,6800,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（2160円） / 免責補償フル(事故時の負担金ゼロ)（2160円）,4320,0,11120,11120,,0,0,,,,10296,1235,0,205,0,SCS001,,,
  ニコニコレンタカー,予約成立,済,R0R9VAPU,じゃらん,2018/6/12 0:32,,2018/7/28 10:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/2 18:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 1 名、子ども: 0 名,MM101,MM110,24000,0,カーナビ × 1（0円） / ETC車載器 × 1（0円）,0,免責補償制度（6480円） / 免責補償フル(事故時の負担金ゼロ)（6480円）,12960,0,36960,36960,,0,0,CUPR001068,"早めの予約がお得★夏休みに使える4,000円分クーポン【ご予約は6/14迄】",4000,34222,4106,0,684,0,SCS001,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R8FDQ908,JALじゃらんパック,2018/6/13 20:24,2018/6/13 22:14,2018/8/27 11:35,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL0509,JAL0528,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/6/13 22:14
  ニコニコレンタカー,予約成立,済,R0RT28QQ,じゃらん,2018/6/13 21:46,,2018/6/14 14:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/6/19 14:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー 禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC車載器 × 1 / ETCカード × 1,免責補償制度 / 免責補償フル(事故時の負担金ゼロ),大人: 4 名、子ども: 0 名,ZE951,ZE952,14300,0,カーナビ × 1（0円） / ETC車載器 × 1（0円） / ETCカード × 1（350円）,350,免責補償制度（5400円） / 免責補償フル(事故時の負担金ゼロ)（5400円）,10800,0,25450,25450,,0,0,,,,23564,2827,0,471,0,SCS001,,,
  ニコニコレンタカー,キャンセル（予約者都合）,済,R85UK9J8,JALじゃらんパック,2018/6/13 22:20,2018/6/13 22:30,2018/8/27 11:35,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL0509,JAL0528,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/6/13 22:30
  ニコニコレンタカー,キャンセル（予約者都合）,済,R867VIQL,JALじゃらんパック,2018/6/13 22:34,2018/6/13 22:47,2018/8/27 11:35,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,2018/8/29 20:00,新千歳空港店（ニコレンお客様大賞受賞店）,chitose,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),Sクラス(SCS001),AT,禁煙,カーナビ × 1 / ETC × 1,免責補償,大人: 2 名、子ども: 0 名,JAL0509,JAL0528,0,0,カーナビ × 1（0円） / ETC × 1（0円）,0,免責補償（0円）,0,0,10500,0,0,0,,,,,0,0,,,,【ナビ・ETC付】コンパクトカー禁煙 (デミオ・ヴィッツ等),,,2018/6/13 22:47
