company_name,request_date,pickup_date,return_date,cancellation_date,is_cancelled,car_class,transmission,num_of_passengers,num_of_children,arrival_flight,total_price,day_of_week,is_holiday,is_bad_weather,events_count,events_avg_distance,events_avg_duration,encoded_car_company,month
jalan,2016-03-22,2016-03-30,2016-04-01,NA,0,Sクラス喫煙（SCS002）,AT,2,0,SKY717,11360,Wed,0,0,3,35929.50639226197,1,4890.206896551724,3
jalan,2016-03-23,2016-07-26,2016-07-29,2016-04-14,1,Sクラス禁煙（SCS001）,AT,2,0,NA,15540,Tue,0,0,3,100949.13716940154,14,5480,7
jalan,2016-03-23,2016-03-24,2016-03-26,NA,0,Sクラス喫煙（SCS002）,AT,2,0,NA,8660,Thu,0,0,1,36885.78111927318,1,4890.206896551724,3
jalan,2016-03-24,2016-06-24,2016-06-29,NA,0,Kクラス(SCK001),AT,2,0,ＳＫＹ773,18900,Fri,0,0,9,66738.20758360004,1.3333333333333333,4169.508196721312,6
jalan,2016-03-24,2016-03-31,2016-04-02,NA,0,Sクラス(SCS001),AT,2,0,JW905,10240,Thu,0,0,1,35157.70499069272,1,5093.3183949973945,3
jalan,2016-03-27,2016-04-09,2016-04-11,2016-03-27,1,Sクラス喫煙（SCS002）,AT,2,0,ANA4801,9740,Sat,0,0,12,34109.77238891908,1,4890.206896551724,4
jalan,2016-03-27,2016-04-09,2016-04-12,NA,0,Sクラス喫煙（SCS002）,AT,2,0,ANA4801,12820,Sat,0,0,12,34109.77238891908,1,4890.206896551724,4
jalan,2016-03-30,2016-07-10,2016-07-15,NA,0,Sクラス禁煙（SCS001）,AT,2,0,ANA065,29860,Sun,0,0,10,37230.27803333574,11.4,5480,7
jalan,2016-03-31,2016-05-13,2016-05-15,NA,0,Kクラス(SCK001),AT,2,0,ピーチMM101,8100,Fri,0,0,9,38328.92282842948,1.3333333333333333,4169.508196721312,5
jalan,2016-03-31,2016-04-26,2016-04-28,2016-04-01,1,Kクラス(SCK001),AT,2,0,ANA553,9240,Tue,0,0,2,29208.725420030063,1,4169.508196721312,4
jalan,2016-04-01,2016-04-23,2016-04-28,2016-04-05,1,Sクラス喫煙（SCS002）,AT,2,0,NA,18980,Sat,0,0,26,41080.79558279112,14.23076923076923,4890.206896551724,4
jalan,2016-04-01,2016-04-18,2016-04-22,NA,0,Fクラス(SCF001),AT,2,0,NA,30320,Mon,0,0,0,0,0,10547.514563106797,4
jalan,2016-04-02,2016-04-09,2016-04-11,NA,0,Sクラス(SCS001),AT,2,0,ANA053,10240,Sat,0,0,12,34109.77238891908,1,5093.3183949973945,4
jalan,2016-04-02,2016-08-13,2016-08-16,2016-07-16,1,Sクラス(SCS001),AT,2,0,NA,10240,Sat,0,0,18,110691.12990476172,1.6111111111111112,5093.3183949973945,8
jalan,2016-04-02,2016-08-14,2016-08-19,NA,0,Sクラス(SCS001),AT,2,0,NA,11000,Sun,0,0,12,77989.97501108095,1,5093.3183949973945,8
jalan,2016-04-02,2016-04-03,2016-04-05,NA,0,Sクラス喫煙（SCS002）,AT,2,0,JAL511,9740,Sun,0,0,10,57553.26497647299,1.1,4890.206896551724,4
jalan,2016-04-03,2016-07-16,2016-07-18,2016-06-09,1,Sクラス禁煙（SCS001）,AT,2,0,NA,16260,Sat,1,0,36,94332.8003421099,16.555555555555557,5480,7
jalan,2016-04-03,2016-05-28,2016-05-29,2016-04-16,1,Kクラス(SCK001),AT,2,0,NA,3780,Sat,0,0,15,61149.344320462806,3.6666666666666665,4169.508196721312,5
jalan,2016-04-04,2016-05-27,2016-05-30,NA,0,Fクラス(SCF001),AT,2,0,JAL0505,25240,Fri,0,0,8,36023.69106916642,1.25,10547.514563106797,5
jalan,2016-04-04,2016-05-27,2016-05-29,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,8160,Fri,0,0,8,36023.69106916642,1.25,4291.428571428571,5
jalan,2016-04-05,2016-06-10,2016-06-12,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,8160,Fri,0,0,8,32797.42206794682,2.25,4291.428571428571,6
jalan,2016-04-06,2016-05-17,2016-05-18,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,GK105,8160,Tue,0,0,1,36070.52000101168,1,4291.428571428571,5
jalan,2016-04-08,2016-06-04,2016-06-05,2016-05-30,1,Sクラス禁煙（SCS0002）,AT,2,0,NA,9240,Sat,0,0,18,41350.53150684818,2.5555555555555554,4291.428571428571,6
jalan,2016-04-08,2016-05-15,2016-05-17,NA,0,Fクラス(SCF001),AT,2,0,新千歳,22140,Sun,0,0,14,99527.12968336094,1,10547.514563106797,5
jalan,2016-04-08,2016-05-16,2016-05-17,NA,0,Kクラス(SCK001),AT,2,0,GK153,7560,Mon,0,0,3,49106.98237311578,10.333333333333334,4169.508196721312,5
jalan,2016-04-08,2016-04-23,2016-04-24,NA,0,Kクラス(SCK001),AT,2,0,未定,7240,Sat,0,0,26,41080.79558279112,14.23076923076923,4169.508196721312,4
jalan,2016-04-09,2016-06-26,2016-06-29,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,ＭＭ１０１,12240,Sun,0,0,13,80428.31745507778,1,4291.428571428571,6
jalan,2016-04-10,2016-05-02,2016-05-05,NA,0,Fクラス禁煙（SCF005）,AT,2,0,ANA4837,39480,Mon,0,0,5,70435.63453109795,1.6,15194.285714285714,5
jalan,2016-04-11,2016-06-24,2016-06-25,2016-04-24,1,Sクラス禁煙（SCS0002）,AT,2,0,GK183,4080,Fri,0,0,9,66738.20758360004,1.3333333333333333,4291.428571428571,6
jalan,2016-04-13,2016-05-15,2016-05-19,2016-04-19,1,Sクラス禁煙（SCS0002）,AT,2,0,NA,16320,Sun,0,0,14,99527.12968336094,1,4291.428571428571,5
jalan,2016-04-13,2016-04-21,2016-04-27,NA,0,Sクラス喫煙（SCS002）,AT,2,0,MM103,22060,Thu,0,0,4,35768.33597961583,1,4890.206896551724,4
jalan,2016-04-14,2016-05-03,2016-05-05,NA,0,Fクラス喫煙（SCF006）,AT,2,0,JAL,35740,Tue,1,0,16,53622.8028738214,5,17870,5
jalan,2016-04-16,2016-05-28,2016-05-29,2016-04-17,1,Kクラス(SCK001),AT,2,0,NA,3780,Sat,0,0,15,61149.344320462806,3.6666666666666665,4169.508196721312,5
jalan,2016-04-17,2016-05-21,2016-05-21,NA,0,Kクラス(SCK001),AT,2,0,ANA051,3780,Sat,0,0,25,47842.040514178545,11.68,4169.508196721312,5
jalan,2016-04-17,2016-04-30,2016-05-02,NA,0,Sクラス禁煙（SCS005）,AT,2,0,JAL3403,13960,Sat,1,0,17,39777.55466733587,1,6244.761904761905,4
jalan,2016-04-18,2016-05-03,2016-05-07,NA,0,Sクラス禁煙（SCS005）,AT,2,0,JAL0509,24460,Tue,1,0,16,53622.8028738214,5,6244.761904761905,5
jalan,2016-04-18,2016-06-25,2016-06-27,NA,0,Fクラス(SCF001),AT,2,0,JAL3103,24740,Sat,0,0,29,67608.01081966235,20.551724137931036,10547.514563106797,6
jalan,2016-04-19,2016-05-15,2016-05-19,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,NA,16320,Sun,0,0,14,99527.12968336094,1,4291.428571428571,5
jalan,2016-04-19,2016-04-20,2016-04-23,NA,0,Sクラス(SCS001),AT,2,0,NA,10240,Wed,0,0,1,35862.820324000815,1,5093.3183949973945,4
jalan,2016-04-20,2016-04-30,2016-05-03,NA,0,Sクラス禁煙（SCS005）,AT,2,0,ANA1713,18460,Sat,1,0,17,39777.55466733587,1,6244.761904761905,4
jalan,2016-04-20,2016-04-23,2016-04-24,NA,0,Fクラス(SCF001),AT,2,0,ANA0075,8120,Sat,0,0,26,41080.79558279112,14.23076923076923,10547.514563106797,4
jalan,2016-04-20,2016-04-25,2016-04-26,NA,0,Sクラス(SCS001),AT,2,0,ANA059,7160,Mon,0,0,6,66239.67900910233,19,5093.3183949973945,4
jalan,2016-04-20,2016-05-14,2016-05-15,NA,0,Kクラス(SCK001),AT,2,0,NA,3780,Sat,0,0,11,60627.19880026113,34.09090909090909,4169.508196721312,5
jalan,2016-04-21,2016-06-02,2016-06-04,NA,0,Fクラス(SCF001),AT,2,0,ＧＫ181,22140,Thu,0,0,5,55575.81248820874,6.8,10547.514563106797,6
jalan,2016-04-22,2016-06-17,2016-06-19,2016-05-18,1,Fクラス(SCF001),AT,2,0,GK183,17160,Fri,0,0,5,72908.60316427596,1,10547.514563106797,6
jalan,2016-04-24,2016-04-28,2016-05-06,NA,0,Sクラス禁煙（SCS005）,AT,2,0,ADO011,48420,Thu,0,0,6,61704.562436144864,7.833333333333333,6244.761904761905,4
jalan,2016-04-24,2016-04-30,2016-05-04,NA,0,Sクラス禁煙（SCS005）,AT,2,0,NA,25840,Sat,1,0,17,39777.55466733587,1,6244.761904761905,4
jalan,2016-05-01,2016-06-01,2016-06-08,2016-05-01,1,Fクラス(SCF001),AT,2,0,NA,57560,Wed,0,0,17,81491.49653020146,79.88235294117646,10547.514563106797,6
jalan,2016-05-01,2016-05-31,2016-06-07,2016-05-01,1,Fクラス(SCF001),AT,2,0,NA,57560,Tue,0,0,5,70984.83194295205,11.4,10547.514563106797,5
jalan,2016-05-01,2016-08-12,2016-08-15,NA,0,Sクラス(FS001),AT,2,0,SKY767,26080,Fri,0,0,5,62851.72209589308,1,8810.76923076923,8
jalan,2016-05-02,2016-05-31,2016-06-07,2016-05-02,1,Fクラス(SCF001),AT,2,0,NA,57560,Tue,0,0,5,70984.83194295205,11.4,10547.514563106797,5
jalan,2016-05-04,2016-08-12,2016-08-15,2016-05-04,1,Sクラス(FS001),AT,2,0,JAL2903,22620,Fri,0,0,5,62851.72209589308,1,8810.76923076923,8
jalan,2016-05-04,2016-08-12,2016-08-15,2016-05-21,1,Sクラス(FS001),AT,2,0,JAL2903,22620,Fri,0,0,5,62851.72209589308,1,8810.76923076923,8
jalan,2016-05-04,2016-06-11,2016-06-13,2016-05-04,1,Sクラス禁煙（SCS0002）,AT,2,0,ANA59,8840,Sat,0,0,7,53036.24813061212,21,4291.428571428571,6
jalan,2016-05-04,2016-06-11,2016-06-13,2016-05-13,1,Sクラス禁煙（SCS0002）,AT,2,0,ANA59,8840,Sat,0,0,7,53036.24813061212,21,4291.428571428571,6
jalan,2016-05-06,2016-05-08,2016-05-10,NA,0,Kクラス(SCK001),AT,2,0,NA,11340,Sun,0,0,9,67159.09783914077,1,4169.508196721312,5
jalan,2016-05-06,2016-05-13,2016-05-15,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,JETSTAR GK185,7760,Fri,0,0,9,38328.92282842948,1.3333333333333333,4291.428571428571,5
jalan,2016-05-08,2016-08-15,2016-08-18,NA,0,Kクラス禁煙（SCK005）,AT,2,0,ANA1831,22020,Mon,0,0,4,79725.78734186426,1,7820,8
jalan,2016-05-09,2016-07-29,2016-07-30,NA,0,Sクラス禁煙（SCS001）,AT,2,0,ピーチＭＭ１０１,7340,Fri,0,0,16,62204.59535232471,1.9375,5480,7
jalan,2016-05-10,2016-05-18,2016-05-18,NA,0,Kクラス(SCK001),AT,2,0,gk181,3780,Wed,0,0,3,35989.95219375498,7.666666666666667,4169.508196721312,5
jalan,2016-05-11,2016-06-10,2016-06-11,NA,0,Sクラス禁煙（SCS0002）,AT,2,0,SKY767便,3880,Fri,0,0,8,32797.42206794682,2.25,4291.428571428571,6
