company_name,pickup_date,target
jalan,2016-07-19,0
rakuten,2016-07-19,4
jalan,2016-07-20,0
rakuten,2016-07-20,3
jalan,2016-07-21,0
rakuten,2016-07-21,7
jalan,2016-07-22,1
rakuten,2016-07-22,7
jalan,2016-07-23,1
rakuten,2016-07-23,8
jalan,2016-07-24,0
rakuten,2016-07-24,6
jalan,2016-07-25,1
rakuten,2016-07-25,5
jalan,2016-07-26,0
rakuten,2016-07-26,2
jalan,2016-07-27,1
rakuten,2016-07-27,7
jalan,2016-07-28,0
rakuten,2016-07-28,6
jalan,2016-07-29,1
rakuten,2016-07-29,5
jalan,2016-07-30,1
rakuten,2016-07-30,6
jalan,2016-07-31,1
rakuten,2016-07-31,5
jalan,2016-08-01,0
rakuten,2016-08-01,8
jalan,2016-08-02,0
rakuten,2016-08-02,6
jalan,2016-08-03,1
rakuten,2016-08-03,3
jalan,2016-08-04,1
rakuten,2016-08-04,5
jalan,2016-08-05,0
rakuten,2016-08-05,6
jalan,2016-08-06,0
rakuten,2016-08-06,1
jalan,2016-08-07,0
rakuten,2016-08-07,2
jalan,2016-08-08,1
rakuten,2016-08-08,2
jalan,2016-08-09,0
rakuten,2016-08-09,3
jalan,2016-08-10,0
rakuten,2016-08-10,13
jalan,2016-08-11,3
rakuten,2016-08-11,4
jalan,2016-08-12,3
rakuten,2016-08-12,9
jalan,2016-08-13,2
rakuten,2016-08-13,9
jalan,2016-08-14,1
rakuten,2016-08-14,15
jalan,2016-08-15,2
rakuten,2016-08-15,0
jalan,2016-08-16,3
rakuten,2016-08-16,0
jalan,2016-08-17,1
rakuten,2016-08-17,12
jalan,2016-08-18,1
rakuten,2016-08-18,11
jalan,2016-08-19,1
rakuten,2016-08-19,8
jalan,2016-08-20,0
rakuten,2016-08-20,2
jalan,2016-08-21,1
rakuten,2016-08-21,2
jalan,2016-08-22,1
rakuten,2016-08-22,10
jalan,2016-08-23,1
rakuten,2016-08-23,9
jalan,2016-08-24,2
rakuten,2016-08-24,11
jalan,2016-08-25,1
rakuten,2016-08-25,10
jalan,2016-08-26,2
rakuten,2016-08-26,8
jalan,2016-08-27,0
rakuten,2016-08-27,4
jalan,2016-08-28,0
rakuten,2016-08-28,1
jalan,2016-08-29,0
rakuten,2016-08-29,2
jalan,2016-08-30,0
rakuten,2016-08-30,1
jalan,2016-08-31,0
rakuten,2016-08-31,2
jalan,2016-09-01,0
rakuten,2016-09-01,3
